Empresa,sector,ventas_anuales,empleados,adopcion_tecnologica,tecnologias_utilizadas,proposito_hoy,proposito_18_anos,_latency_s
Banco Serfinanza,Servicios,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Ciberseguridad; Computación en la nube,Ofrecer servicios financieros innovadores y seguros a nuestros clientes.,Ser líderes en la banca digital en Colombia y expandir nuestra presencia en la región.,3.1059
Banco Pichincha Colombia,Servicios,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Ofrecer servicios financieros innovadores y seguros a nuestros clientes en Colombia.,"Ser el banco líder en Colombia, reconocido por la excelencia en servicio y la innovación en productos financieros.",2.8896
Banco Caja Social,Servicios,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"Brindar servicios financieros de alta calidad a nuestros clientes, impulsando su crecimiento y bienestar.","Ser líderes en la prestación de servicios financieros en Colombia, reconocidos por nuestra innovación y compromiso con la comunidad.",2.9777
Banco Finandina,Servicios,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Ofrecer servicios financieros innovadores y seguros a nuestros clientes.,"Ser líderes en la banca digital en Colombia, con una experiencia de cliente excepcional.",2.5551
Banco W,Servicios,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Ofrecer servicios financieros innovadores y seguros a nuestros clientes.,"Ser líderes en la banca digital en Colombia, con una experiencia de cliente excepcional.",2.5461
Banco Cooperativo Coopcentral,Servicios,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"Ser líder en servicios financieros cooperativos en Colombia, ofreciendo soluciones innovadoras y accesibles a nuestros asociados.","Consolidarnos como el banco cooperativo más grande y reconocido en Colombia, expandiendo nuestra presencia en la región y fortaleciendo nuestra oferta de servicios.",2.6142
Credibanco,Servicios,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Ciberseguridad; Computación en la nube,Ofrecer servicios financieros innovadores y seguros a nuestros clientes.,Ser líderes en la prestación de servicios financieros en Colombia y expandir nuestra presencia en la región.,2.5623
Redeban Multicolor,Servicios,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,Ser líderes en servicios de procesamiento de pagos en Colombia,Consolidarnos como líderes en servicios de tecnología financiera en Latinoamérica,2.5663
VisaNet Colombia,Servicios,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Big Data y analítica avanzada; Ciberseguridad; Computación en la nube,"VisaNet Colombia busca mantener su liderazgo en el mercado de servicios de pago en Colombia, mejorando la experiencia del cliente y ampliando su cobertura.","En 18 años, VisaNet Colombia aspira a ser una de las empresas líderes en servicios de pago en Latinoamérica, expandiendo su oferta de productos y servicios innovadores.",2.6018
Mastercard Colombia,Servicios,Grande — > $50.000 M,>500,"Avanzado - Uso intensivo de tecnologías emergentes, IA, IoT, etc.",Inteligencia Artificial; Big Data y analítica avanzada; Ciberseguridad; Blockchain; Computación en la nube,Ofrecer soluciones de pago innovadoras y seguras a nuestros clientes en Colombia.,"Ser líderes en la industria de pagos en Latinoamérica, impulsando la inclusión financiera y la transformación digital.",2.5644
Seguros Bolívar,Servicios,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Ciberseguridad; Computación en la nube,Ofrecer soluciones de seguros innovadoras y personalizadas que satisfagan las necesidades de nuestros clientes.,"Ser líderes en el mercado de seguros en Colombia y Latinoamérica, reconocidos por nuestra excelencia en servicio y innovación.",2.5714
Seguros Sura,Servicios,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Big Data y analítica avanzada; Ciberseguridad; Computación en la nube,"Ofrecer soluciones de seguros innovadoras y personalizadas a nuestros clientes, protegiendo su bienestar y patrimonio.","Ser líderes en el mercado de seguros en Colombia y Latinoamérica, reconocidos por nuestra excelencia en servicio y gestión de riesgos.",2.5992
Seguros del Estado,Servicios,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Big Data y analítica avanzada; Ciberseguridad; Computación en la nube,"Ofrecer soluciones de seguros integrales y personalizadas a nuestros clientes, con un enfoque en la innovación y la calidad del servicio.","Consolidarnos como líderes en el mercado de seguros en Colombia, expandiendo nuestra oferta de productos y servicios a nivel regional.",2.6446
Mapfre Colombia,Servicios,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Big Data y analítica avanzada; Ciberseguridad; Computación en la nube,"En Mapfre Colombia, nos esforzamos por brindar soluciones innovadoras y servicios de alta calidad a nuestros clientes, protegiendo su futuro y el de sus familias.","En 18 años, nos vemos liderando el mercado de seguros en Colombia, siendo reconocidos por nuestra innovación, servicio al cliente y contribución positiva a la sociedad.",2.616
AXA Colpatria Seguros,Servicios,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Ciberseguridad; Computación en la nube,Ofrecer soluciones innovadoras de seguros que protejan y tranquilicen a nuestros clientes.,"Ser líderes en el mercado de seguros en Colombia, reconocidos por nuestra excelencia en servicio y atención al cliente.",2.6003
Liberty Seguros Colombia,Servicios,Mediana (alta) — $10.000–50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,"Ofrecer soluciones de seguros innovadoras y personalizadas a nuestros clientes, mejorando su calidad de vida y brindando tranquilidad financiera.","Ser líderes en el mercado de seguros en Colombia, reconocidos por nuestra excelencia en servicio, innovación y responsabilidad social.",2.7088
Allianz Colombia,Servicios,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Ciberseguridad; Computación en la nube,"En Allianz Colombia, nos enfocamos en brindar soluciones de seguros innovadoras y servicios de alta calidad a nuestros clientes, apoyados en nuestra experiencia y tecnología de punta.","En 18 años, nuestro objetivo es consolidarnos como líderes en el mercado de seguros en Colombia, expandiendo nuestra oferta de productos y servicios, y fortaleciendo nuestra presencia digital.",2.6542
Chubb Seguros Colombia,Servicios,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Big Data y analítica avanzada; Ciberseguridad; Computación en la nube,Ofrecer soluciones de seguros innovadoras y personalizadas a nuestros clientes en Colombia.,"Ser líderes en el mercado de seguros en Colombia, reconocidos por nuestra excelencia en servicio y innovación.",2.5696
HDI Seguros Colombia,Servicios,Mediana (alta) — $10.000–50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,Ofrecer soluciones de seguros innovadoras y personalizadas a nuestros clientes en Colombia.,"Ser líderes en el mercado de seguros en Colombia, reconocidos por nuestra excelencia en servicio y innovación.",2.5932
Previsora Seguros,Servicios,Mediana (alta) — $10.000–50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Big Data y analítica avanzada; Ciberseguridad; Computación en la nube,"Ofrecer soluciones de seguros innovadoras y personalizadas a nuestros clientes, mejorando su calidad de vida.","Ser líderes en el mercado de seguros en Colombia, reconocidos por nuestra excelencia en servicio y nuestra contribución al desarrollo del país.",2.6047
Aseguradora Solidaria,Servicios,Mediana (alta) — $10.000–50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Big Data y analítica avanzada; Ciberseguridad; Computación en la nube,"Ofrecer soluciones de seguros innovadoras y accesibles a nuestros clientes, con un enfoque en la satisfacción y la confianza.","Ser líderes en el mercado de seguros en Colombia, reconocidos por nuestra excelencia en servicio y nuestra contribución al bienestar de la sociedad.",2.6621
Positiva Compañía de Seguros,Servicios,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"Ofrecer soluciones de seguros innovadoras y personalizadas a nuestros clientes, mejorando su calidad de vida.","Ser líderes en el mercado de seguros en Colombia, reconocidos por nuestra excelencia en servicio y nuestra contribución al bienestar de la sociedad.",2.6526
MetLife Colombia,Servicios,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Ofrecer soluciones de seguros y servicios financieros innovadores y personalizados a nuestros clientes en Colombia.,"Ser líderes en el mercado de seguros y servicios financieros en Colombia, reconocidos por nuestra excelencia en servicio y innovación.",3.5825
